iter	RMSE
180	207.8833439
181	207.7333064
182	207.6390845
183	207.4124198
184	207.3507255
185	207.2528039
186	207.2262112
187	206.8893835
188	206.7424552
189	206.6697729
190	206.6342361
191	206.5700401
192	206.4350598
193	206.3173317
194	206.174064
195	206.1286851
196	205.9618385
197	205.8806716
198	205.8253548
199	205.7623799
200	205.7308225
201	205.6750237
202	205.6027015
203	205.5535482
204	205.4545646
205	205.4513753
206	205.2444572
207	205.0440085
208	205.0404062
209	204.8250509
210	204.6427423
211	204.4910537
212	204.4144439
213	204.3462179
214	204.0970054
215	204.0050526
216	203.888706
217	203.799368
218	203.6927486
219	203.6917156
220	203.5538142
221	203.4692467
222	203.276944
223	203.1649605
224	203.1232147
225	202.9696561
226	202.8140525
227	202.6897091
228	202.2445059
229	202.1483607
230	202.0701348
231	201.9027327
232	201.7727308
233	201.5572308
234	201.5341219
235	201.4742611
236	201.4650658
237	201.3333504
238	201.1688479
239	201.0981425
240	200.9573769
241	200.8939043
242	200.7814326
243	200.6327894
244	200.5297512
245	200.4265892
246	200.4048285
247	200.3335329
248	200.2816549
249	200.1499562
250	200.1407548
251	199.9560795
252	199.8491734
253	199.8054534
254	199.7578632
255	199.6204954
256	199.4999044
257	199.465007
258	199.4421211
259	199.3489764
260	199.1068915
261	198.9430846
262	198.9039916
263	198.8949579
264	198.8030376
265	198.7016094
266	198.5478465
267	198.5275114
268	198.4108346
269	198.2792455
270	198.1513559
271	198.0355715
272	197.6428622
273	197.578799
274	197.5704997
275	197.5207239
276	197.3787226
277	197.2944003
278	197.1584968
279	197.1493943
280	196.9884344
281	196.8296736
282	196.8104637
283	196.7719246
284	196.4091427
285	196.3776493
286	196.3294203
287	196.180326
288	196.1796917
289	196.1404622
290	195.9816652
291	195.9244189
292	195.9069944
293	195.6008199
294	195.5237999
295	195.4878946
296	195.4252169
297	195.2936791
298	195.240922
299	195.1851764
300	195.126075
301	195.082972
302	194.8690227
303	194.7432176
304	194.6699549
305	194.4895501
306	194.2015332
307	193.9949132
308	193.9700339
309	193.9387955
310	193.8847997
311	193.8323833
312	193.7797237
313	193.7259233
314	193.5196103
315	193.4329981
316	193.3941433
317	193.350155
318	193.2930177
319	193.242381
320	193.1781057
321	193.1173496
322	193.070669
323	193.0261203
324	192.9723451
325	192.9275768
326	192.8311287
327	192.7960328
328	192.7373556
329	192.5043058
330	192.4827936
331	192.3439407
332	192.2074533
333	192.1257248
334	192.0926428
335	192.0316842
336	191.8552936
337	191.8264605
338	191.8083775
339	191.6899769
340	191.6347659
341	191.5932148
342	191.541428
343	191.4884899
344	191.4418515
345	191.3635299
346	191.3493538
347	191.3219414
348	191.2793136
349	191.2227496
350	191.1373653
351	191.1347223
352	191.0967912
353	191.0484208
354	190.9375891
355	190.9062436
356	190.8518431
357	190.7763468
358	190.7161025
359	190.5265278
360	190.3455571
361	190.2948278
362	190.2553824
363	190.1681957
364	190.131383
365	190.04621
366	189.8784143
367	189.6635325
368	189.6257682
369	189.5795187
370	189.543511
371	189.5238839
372	189.5070754
373	189.384067
374	189.2344421
375	189.2063566
376	189.2012484
377	189.1663775
378	189.1045441
379	189.085599
380	188.9463964
381	188.895213
382	188.7648179
383	188.7500424
384	188.6340069
385	188.607426
386	188.5484603
387	188.5291275
388	188.1811247
389	188.1450291
390	188.0351266
391	188.0267231
392	187.9742373
393	187.9491171
394	187.8809181
395	187.8405731
396	187.8198096
397	187.7582019
398	187.735515
399	187.7314535
400	187.6185926
401	187.5977061
402	187.4931975
